Coffeenerds;64091_63105
La Quadrature du Net;60630_45791
Quality Alcohol;56170_-5098
Villa Straylight;55628_11162
Word-lounge;27450_-2549
Kids;26981_27510
Relax;40447_53965
Hall 17;54214_47373
Hall F;11006_-60469
Hall E;1845_-61172
Hall D;-7188_-61084
Food-hacking;2021_-45088
Gängeviertel;-176_-26279
Hall G;10833_-26191
Speakers-corner;-8407_20039
Full Circle;-6490_27861
Chaoswelle;2899_46758
Leiwandville;-24847_4482
42;-24847_4482
Civic Summit;-22837_4395
Teckids;-22675_7119
pyneo;-22269_9580
irish;-22269_13008
OSM;-22431_17139
xenomorphs;-24287_9229
fabhack;-23725_15205
AKV;-25245_12920
DFRi;-25165_15996
Modern Poland;-27137_13799
Lübeck;-27684_2549
Freifunk;-29535_2549
Sendezentrum;-33358_4307
Lockpicking;-33064_15820
HacklabKiKa;-33651_23643
Amsterdam;-34886_21006
MW;-35102_25313
Heaven;-39572_19600
POC;-28382_29355
linux call router;-31653_30850
sigrok;-31728_34453
C3S;-28150_37617
#youbroketheinternet;-27450_40078
WHS;-25879_39639
HACAS;-24687_38584
Cryptoparty;-18813_36650
I2P;-19311_39199
EFF;-18062_41309
EDRi;-16383_45527
FiFF;-16046_47637
Noisy square;-18730_45352
GSM;-15961_30674
Hall 13;-14179_34541
Hall 14;-11781_38672
sublab;-55104_-30190
Kinky Geeks;-56873_-29839
C3PB;-53982_-26235
Mannheim;-55354_-22236
Double octo*;-54214_-19907
WOB Space;-54496_-14897
Black Space;-55154_-17402
Aussenstelle 511;-54801_-11689
Milliways;-55204_-8921
Chaos inkl.;-56729_-26016
Frankfurt;-56487_-22544
Byte Werk;-56632_-18237
AA Hacks;-56170_-15249
Geheimorganisation;-56559_-7119
; DROP TABLE;-57327_-13623
Innovalan;-57160_-6812
Thumb2;-57821_-6987
Maschinenraum;-58517_-9756
Ball-pit;-59378_-28345
SaturnD;-58379_-22983
MuCCC;-58379_-20918
Starship;-58448_-18984
Bio;-58402_-13799
Rollwerk;-59176_-13975
Chaospot;-60565_-29399
Netz39;-61228_-26587
C302;-61037_-23994
c-base;-60196_-16743
3D;-61355_-20742
Hall 3;-61270_-16172
Copter;-60930_-11118
BlinkenArea;-60196_-7163
Darmstadt;-61939_-29268
shack space;-62755_-31685
Binary Kitchen;-62390_-26895
CCCFR;-62083_-23774
Mainframe;-62512_-20654
MFK;-62411_-17930
Foobar;-62329_-14546
Forth;-62329_-10898
compass;-63332_-26938
Warsaw;-63392_-23159
Warpzone;-63588_-18896
Kölner Kreis;-63253_-15337
DIY Audio;-63214_-11294
Flipdot;-63957_-32212
Smartcards;-63879_-29487
CONFidence;-64378_-27026
Entropolis;-64225_-20918
Labor 23;-64321_-13359
Fail0verflow;-64868_-23027
LSE;-64812_-19775
FuWar;-64812_-17578
CCT;-64755_-15469
sandbox;-65731_-28652
Mere;-65803_-25313
RAD;-65713_-22588
Hackzogtum;-65713_-18413
TabVill.;-65731_-13315
Dortmund;-65713_-9976
Hardwarehacking;-63763_-6592
Das Labor;-65749_-5801
LISP;-60866_1099
Koffein;-61080_3560
Chaos Mentoring;-59955_8745
REISUB;-62104_-1890
DeforaOS;-61752_4790
Team23;-61627_11689
Debian;-62166_8130
Python;-62472_4834
CERT;-62288_13535
CCC-CH;-62855_10415
Gentoo;-63095_5845
Hackeriet;-63646_6021
Fnordeingang;-63782_9492
Faulty;-63899_132
Arrrrr;-64340_2065
StuStaNet;-64530_5845
cypherpunk.at;-64812_9316
Geraffel;-64091_13359
Hacker Tours;-64718_17095
C4;-65330_15469
c3le;-65821_-2241
Niwohlos;-66601_176
Magarathea;-66653_5669
Salzburg;-66302_11777
Chaosdorf;-66302_14370
Subraum;-66947_-2461
Spline;-67542_-1362
Eindbazen;-67357_1362
Aachen;-67289_3735
/dev/lol;-66878_10107
Info;-63115_18765
Food;-53094_10986
Wardrobe;-50709_30103
T-Shirt Sale;-52429_36870
Speakerregistration;-47040_54492
Hall 6;-66018_43594
Revolution #9;-70787_27949
c-shuttle;-69473_28301
Exit;-61606_56777
Entry;-53645_69961
Hall 1;12897_11602
Hall 2;21289_40430
Crypotcat;-18730_45352
Torservers.net;-18730_45352
Hart Voor InternetVrijheid;-18730_45352
Puscii;-18730_45352
USE OTR!;-18730_45352
Wikileaks-Press;-18730_45352
Anarchist Village;-18730_45352
Greenhost;-18730_45352
Tactical Tech;-18730_45352
Open Knowledge Foundation;-18730_45352
LEAP Encryption Access Project;-18730_45352
GlobaLeaks Projekt + Hermes Center;-18730_45352
Mailpile;-18730_45352
